"Path","ProposedArchiveTarget","DependencyType","LiveScriptsRefCount","LiveTestsRefCount","StrategyBucket","WrapperRecommendation","MovementAllowedNow","ValidatorBehaviorChangeAllowedNow","RequiredNextEvidence"
"docs/00_project_roadmap.md","docs/archive/numbered_legacy/00_project_roadmap.md","scripts_and_tests","50","2","long_term_retain_until_validator_and_test_compatibility_plan","not_default; possible only after validator/test compatibility design","false","false","exact scripts/tests reference package plus compatibility validator before any move"
"docs/01_project_definition.md","docs/archive/numbered_legacy/01_project_definition.md","scripts_only","1","0","retain_original_path_until_validator_reference_strategy_exists","not_default; prefer validator allowlist or fixture strategy first","false","false","exact scripts/tests reference package plus compatibility validator before any move"
"docs/02_workflow_sop.md","docs/archive/numbered_legacy/02_workflow_sop.md","scripts_only","1","0","retain_original_path_until_validator_reference_strategy_exists","not_default; prefer validator allowlist or fixture strategy first","false","false","exact scripts/tests reference package plus compatibility validator before any move"
"docs/03_agent_roles.md","docs/archive/numbered_legacy/03_agent_roles.md","scripts_only","1","0","retain_original_path_until_validator_reference_strategy_exists","not_default; prefer validator allowlist or fixture strategy first","false","false","exact scripts/tests reference package plus compatibility validator before any move"
"docs/04_review_scorecard.md","docs/archive/numbered_legacy/04_review_scorecard.md","scripts_only","1","0","retain_original_path_until_validator_reference_strategy_exists","not_default; prefer validator allowlist or fixture strategy first","false","false","exact scripts/tests reference package plus compatibility validator before any move"
"docs/07_vcp_memory_adaptation_plan.md","docs/archive/numbered_legacy/07_vcp_memory_adaptation_plan.md","scripts_only","1","0","retain_original_path_until_validator_reference_strategy_exists","not_default; prefer validator allowlist or fixture strategy first","false","false","exact scripts/tests reference package plus compatibility validator before any move"
"docs/08_photo_studio_os_visual_rules.md","docs/archive/numbered_legacy/08_photo_studio_os_visual_rules.md","scripts_and_tests","1","1","long_term_retain_until_validator_and_test_compatibility_plan","not_default; possible only after validator/test compatibility design","false","false","exact scripts/tests reference package plus compatibility validator before any move"
"docs/100_v2_5_post_read_decision_routing.md","docs/archive/numbered_legacy/100_v2_5_post_read_decision_routing.md","tests_only","0","1","fixture_or_test_reference_strategy_required_before_move","not_default; prefer fixture rewrite strategy first","false","false","exact scripts/tests reference package plus compatibility validator before any move"
"docs/101_v2_5_route_specific_authorization_gate.md","docs/archive/numbered_legacy/101_v2_5_route_specific_authorization_gate.md","tests_only","0","1","fixture_or_test_reference_strategy_required_before_move","not_default; prefer fixture rewrite strategy first","false","false","exact scripts/tests reference package plus compatibility validator before any move"
"docs/102_v2_6_review_console_runtime_handoff_plan.md","docs/archive/numbered_legacy/102_v2_6_review_console_runtime_handoff_plan.md","tests_only","0","1","fixture_or_test_reference_strategy_required_before_move","not_default; prefer fixture rewrite strategy first","false","false","exact scripts/tests reference package plus compatibility validator before any move"
"docs/103_v2_6_runtime_handoff_authorization_gate.md","docs/archive/numbered_legacy/103_v2_6_runtime_handoff_authorization_gate.md","tests_only","0","1","fixture_or_test_reference_strategy_required_before_move","not_default; prefer fixture rewrite strategy first","false","false","exact scripts/tests reference package plus compatibility validator before any move"
