"Path","ProposedArchiveTarget","Classification","C1eScriptsCount","C1eTestsCount","LiveScriptsRefCount","LiveTestsRefCount","DependencyType","LiveScriptsRefs","LiveTestsRefs","C1eSampleRefs","MovementAllowedNow","ValidatorBehaviorChangeAllowedNow"
"docs/00_project_roadmap.md","docs/archive/numbered_legacy/00_project_roadmap.md","validator-blocked","97","3","50","2","scripts_and_tests","scripts\validate_current_state_alignment.js; scripts\validate_local_checkpoint_manifest.js; scripts\validate_local_commit_scope.js; scripts\validate_local_tag_push_readiness.js; scripts\validate_mvp.ps1; scripts\validate_native_doubao_sandbox.js; scripts\validate_post_push_state.js; scripts\validate_runtime_review_batch_9a_state_freshness.js; scripts\validate_runtime_review_batch_9b_session_compatibility.js; scripts\validate_runtime_review_batch_9c_operator_runbook.js; scripts\validate_v10_0_a5_end_to_end_activation_package.js; scripts\validate_v10_1_a5_resume_after_external_worktree_reconciliation.js; scripts\validate_v10_10_a5_prompt_handoff_diagnostic_preflight.js; scripts\validate_v10_11_a5_prompt_handoff_diagnostic_result.js; scripts\validate_v10_12_a5_provider_side_prompt_fingerprint_capture_authorization_package.js; scripts\validate_v10_2_a5_bridge_smoke_blocked_record.js; scripts\validate_v10_26_real_dailynote_write_closeout.js; scripts\validate_v10_27_dailynotewrite_root_path_correction.js; scripts\validate_v10_28_dailynote_canonical_location_guard.js; scripts\validate_v10_3_a5_bridge_integration_smoke_record.js; scripts\validate_v10_4_a5_doubaogen_single_generation_rejected_asset_record.js; scripts\validate_v10_5_a5_doubaogen_no_text_retry_rejected_asset_record.js; scripts\validate_v10_6_a5_prompt_failure_analysis_and_safer_strategy.js; scripts\validate_v10_7_a5_safer_prompt_review_package.js; scripts\validate_v10_8_a5_positive_still_life_generation_preflight_gate.js; scripts\validate_v10_9_a5_positive_still_life_generation_rejected_asset_record.js; scripts\validate_v14_124_context_load_guide_and_historical_docs_compaction.js; scripts\validate_v4_index_consistency.js; scripts\validate_v5_12_release_candidate_readiness.js; scripts\validate_v5_delivery_readiness.js; scripts\validate_v5_handoff_freshness.js; scripts\validate_v5_index_consistency.js; scripts\validate_v5_local_batch_commit_readiness.js; scripts\validate_v5_local_sync_readiness.js; scripts\validate_v5_post_commit_reconciliation.js; scripts\validate_v5_post_merge_reconciliation.js; scripts\validate_v5_true_loop_candidate_delivery.js; scripts\validate_v6_7_product_runtime_final_acceptance.js; scripts\validate_v6_8_plugin_dashboard.js; scripts\validate_v7_0_real_production_landing_preflight.js; scripts\validate_v7_40_local_a4_a5_autonomy_alignment.js; scripts\validate_v7_41_external_remote_debug_verification_script_creation_record.js; scripts\validate_v7_42_external_remote_debug_verification_script_creation_authorization_package.js; scripts\validate_v7_43_external_remote_debug_verification_script_creation_execution_record.js; scripts\validate_v7_44_remote_debug_script_run_and_vcpchat_launch_record.js; scripts\validate_v7_45_cdp_read_only_attempt_record.js; scripts\validate_v7_46_remote_debug_relaunch_runtime_verification_record.js; scripts\validate_v7_5_production_run_dry_run_prep.js; scripts\validate_v7_6_single_real_generation_activation_package.js; scripts\validate_vcptoolbox_read_only_ingestion_mock.js","tests\schema_examples\v5_7_local_batch_commit_readiness.example.yaml; tests\validation_checklist.md",".agent_board/CHECKPOINT.md; .agent_board/VALIDATION_LOG.md; docs/134_v5_7_local_batch_commit_readiness.md","false","false"
"docs/01_project_definition.md","docs/archive/numbered_legacy/01_project_definition.md","validator-blocked","1","0","1","0","scripts_only","scripts\validate_mvp.ps1","","docs/HISTORICAL_DOCS_COMPACTION_INDEX.md; scripts/validate_mvp.ps1","false","false"
"docs/02_workflow_sop.md","docs/archive/numbered_legacy/02_workflow_sop.md","validator-blocked","1","0","1","0","scripts_only","scripts\validate_mvp.ps1","","docs/HISTORICAL_DOCS_COMPACTION_INDEX.md; scripts/validate_mvp.ps1","false","false"
"docs/03_agent_roles.md","docs/archive/numbered_legacy/03_agent_roles.md","validator-blocked","1","0","1","0","scripts_only","scripts\validate_mvp.ps1","","docs/HISTORICAL_DOCS_COMPACTION_INDEX.md; scripts/validate_mvp.ps1","false","false"
"docs/04_review_scorecard.md","docs/archive/numbered_legacy/04_review_scorecard.md","validator-blocked","1","0","1","0","scripts_only","scripts\validate_mvp.ps1","","docs/HISTORICAL_DOCS_COMPACTION_INDEX.md; scripts/validate_mvp.ps1","false","false"
"docs/07_vcp_memory_adaptation_plan.md","docs/archive/numbered_legacy/07_vcp_memory_adaptation_plan.md","validator-blocked","1","0","1","0","scripts_only","scripts\validate_mvp.ps1","","docs/HISTORICAL_DOCS_COMPACTION_INDEX.md; scripts/validate_mvp.ps1","false","false"
"docs/08_photo_studio_os_visual_rules.md","docs/archive/numbered_legacy/08_photo_studio_os_visual_rules.md","validator-blocked","1","1","1","1","scripts_and_tests","scripts\validate_mvp.ps1","tests\validation_checklist.md","docs/HISTORICAL_DOCS_COMPACTION_INDEX.md; scripts/validate_mvp.ps1; tests/validation_checklist.md","false","false"
"docs/100_v2_5_post_read_decision_routing.md","docs/archive/numbered_legacy/100_v2_5_post_read_decision_routing.md","validator-blocked","0","1","0","1","tests_only","","tests\validation_checklist.md","tests/validation_checklist.md","false","false"
"docs/101_v2_5_route_specific_authorization_gate.md","docs/archive/numbered_legacy/101_v2_5_route_specific_authorization_gate.md","validator-blocked","0","1","0","1","tests_only","","tests\validation_checklist.md","tests/validation_checklist.md","false","false"
"docs/102_v2_6_review_console_runtime_handoff_plan.md","docs/archive/numbered_legacy/102_v2_6_review_console_runtime_handoff_plan.md","validator-blocked","0","1","0","1","tests_only","","tests\validation_checklist.md","tests/validation_checklist.md","false","false"
"docs/103_v2_6_runtime_handoff_authorization_gate.md","docs/archive/numbered_legacy/103_v2_6_runtime_handoff_authorization_gate.md","validator-blocked","0","1","0","1","tests_only","","tests\validation_checklist.md","tests/validation_checklist.md","false","false"
"docs/104_v2_7_runtime_implementation_planning_gate.md","docs/archive/numbered_legacy/104_v2_7_runtime_implementation_planning_gate.md","validator-blocked","0","1","0","1","tests_only","","tests\validation_checklist.md","tests/validation_checklist.md","false","false"
"docs/105_v2_8_runtime_implementation_task_authorization.md","docs/archive/numbered_legacy/105_v2_8_runtime_implementation_task_authorization.md","validator-blocked","0","1","0","1","tests_only","","tests\validation_checklist.md","tests/validation_checklist.md","false","false"
"docs/106_v2_9_runtime_patch_preflight.md","docs/archive/numbered_legacy/106_v2_9_runtime_patch_preflight.md","validator-blocked","0","1","0","1","tests_only","","tests\validation_checklist.md","tests/validation_checklist.md","false","false"
"docs/107_v3_0_first_runtime_patch_authorization.md","docs/archive/numbered_legacy/107_v3_0_first_runtime_patch_authorization.md","validator-blocked","0","1","0","1","tests_only","","tests\validation_checklist.md","tests/validation_checklist.md","false","false"
"docs/108_v3_1_first_runtime_patch_scope_fill.md","docs/archive/numbered_legacy/108_v3_1_first_runtime_patch_scope_fill.md","validator-blocked","0","1","0","1","tests_only","","tests\validation_checklist.md","tests/validation_checklist.md","false","false"
"docs/109_v3_2_first_runtime_patch_scope_review.md","docs/archive/numbered_legacy/109_v3_2_first_runtime_patch_scope_review.md","validator-blocked","0","1","0","1","tests_only","","tests\validation_checklist.md","tests/validation_checklist.md","false","false"
"docs/11_review_console_design.md","docs/archive/numbered_legacy/11_review_console_design.md","validator-blocked","1","0","1","0","scripts_only","scripts\validate_mvp.ps1","","scripts/validate_mvp.ps1","false","false"
"docs/110_v3_3_first_runtime_patch_implementation_authorization.md","docs/archive/numbered_legacy/110_v3_3_first_runtime_patch_implementation_authorization.md","validator-blocked","0","1","0","1","tests_only","","tests\validation_checklist.md","tests/validation_checklist.md","false","false"
"docs/111_v3_4_first_runtime_patch_execution_plan.md","docs/archive/numbered_legacy/111_v3_4_first_runtime_patch_execution_plan.md","validator-blocked","0","1","0","1","tests_only","","tests\validation_checklist.md","tests/validation_checklist.md","false","false"
"docs/112_v3_5_first_runtime_patch_final_preflight.md","docs/archive/numbered_legacy/112_v3_5_first_runtime_patch_final_preflight.md","validator-blocked","0","1","0","1","tests_only","","tests\validation_checklist.md","tests/validation_checklist.md","false","false"
"docs/113_v3_6_first_runtime_code_patch_authorization.md","docs/archive/numbered_legacy/113_v3_6_first_runtime_code_patch_authorization.md","validator-blocked","2","2","1","2","scripts_and_tests","scripts\validate_mvp.ps1","tests\schema_examples\v3_7_first_runtime_patch_execution_record.example.yaml; tests\validation_checklist.md","docs/114_v3_7_first_runtime_patch_execution_record.md; scripts/validate_mvp.ps1; tests/schema_examples/v3_7_first_runtime_patch_execution_record.example.yaml","false","false"
"docs/114_v3_7_first_runtime_patch_execution_record.md","docs/archive/numbered_legacy/114_v3_7_first_runtime_patch_execution_record.md","validator-blocked","2","2","1","2","scripts_and_tests","scripts\validate_mvp.ps1","tests\schema_examples\v3_7_first_runtime_patch_execution_record.example.yaml; tests\validation_checklist.md","scripts/validate_mvp.ps1; tests/schema_examples/v3_7_first_runtime_patch_execution_record.example.yaml; tests/validation_checklist.md","false","false"
"docs/115_v3_8_runtime_prototype_smoke_test.md","docs/archive/numbered_legacy/115_v3_8_runtime_prototype_smoke_test.md","validator-blocked","2","1","1","1","scripts_and_tests","scripts\validate_mvp.ps1","tests\validation_checklist.md","scripts/validate_mvp.ps1; tests/validation_checklist.md","false","false"
"docs/116_v3_9_runtime_guard_extraction.md","docs/archive/numbered_legacy/116_v3_9_runtime_guard_extraction.md","validator-blocked","2","1","1","1","scripts_and_tests","scripts\validate_mvp.ps1","tests\validation_checklist.md","README.md; scripts/validate_mvp.ps1; tests/validation_checklist.md","false","false"
"docs/117_v4_0_runtime_contract_smoke_hardening.md","docs/archive/numbered_legacy/117_v4_0_runtime_contract_smoke_hardening.md","validator-blocked","6","2","4","2","scripts_and_tests","scripts\validate_local_checkpoint_manifest.js; scripts\validate_local_commit_scope.js; scripts\validate_mvp.ps1; scripts\validate_v4_index_consistency.js","tests\schema_examples\v4_5_local_checkpoint_readiness.example.yaml; tests\validation_checklist.md","README.md; scripts/validate_local_checkpoint_manifest.js; scripts/validate_local_commit_scope.js","false","false"
"docs/118_v4_1_runtime_guard_unit_validation.md","docs/archive/numbered_legacy/118_v4_1_runtime_guard_unit_validation.md","validator-blocked","6","2","4","2","scripts_and_tests","scripts\validate_local_checkpoint_manifest.js; scripts\validate_local_commit_scope.js; scripts\validate_mvp.ps1; scripts\validate_v4_index_consistency.js","tests\schema_examples\v4_5_local_checkpoint_readiness.example.yaml; tests\validation_checklist.md","README.md; scripts/validate_local_checkpoint_manifest.js; scripts/validate_local_commit_scope.js","false","false"
"docs/119_v4_2_runtime_validation_suite.md","docs/archive/numbered_legacy/119_v4_2_runtime_validation_suite.md","validator-blocked","6","2","4","2","scripts_and_tests","scripts\validate_local_checkpoint_manifest.js; scripts\validate_local_commit_scope.js; scripts\validate_mvp.ps1; scripts\validate_v4_index_consistency.js","tests\schema_examples\v4_5_local_checkpoint_readiness.example.yaml; tests\validation_checklist.md","README.md; scripts/validate_local_checkpoint_manifest.js; scripts/validate_local_commit_scope.js","false","false"
"docs/12_mvp_acceptance.md","docs/archive/numbered_legacy/12_mvp_acceptance.md","validator-blocked","1","0","1","0","scripts_only","scripts\validate_mvp.ps1","","scripts/validate_mvp.ps1","false","false"
"docs/120_v4_3_autopilot_overlay_installation.md","docs/archive/numbered_legacy/120_v4_3_autopilot_overlay_installation.md","validator-blocked","7","2","4","2","scripts_and_tests","scripts\validate_local_checkpoint_manifest.js; scripts\validate_local_commit_scope.js; scripts\validate_mvp.ps1; scripts\validate_v4_index_consistency.js","tests\schema_examples\v4_5_local_checkpoint_readiness.example.yaml; tests\validation_checklist.md","README.md; scripts/validate_local_checkpoint_manifest.js; scripts/validate_local_commit_scope.js","false","false"
"docs/121_v4_4_agent_board_state_validation.md","docs/archive/numbered_legacy/121_v4_4_agent_board_state_validation.md","validator-blocked","6","2","4","2","scripts_and_tests","scripts\validate_local_checkpoint_manifest.js; scripts\validate_local_commit_scope.js; scripts\validate_mvp.ps1; scripts\validate_v4_index_consistency.js","tests\schema_examples\v4_5_local_checkpoint_readiness.example.yaml; tests\validation_checklist.md","README.md; scripts/validate_local_checkpoint_manifest.js; scripts/validate_local_commit_scope.js","false","false"
"docs/122_v4_5_local_checkpoint_readiness.md","docs/archive/numbered_legacy/122_v4_5_local_checkpoint_readiness.md","validator-blocked","6","2","4","2","scripts_and_tests","scripts\validate_local_checkpoint_manifest.js; scripts\validate_local_commit_scope.js; scripts\validate_mvp.ps1; scripts\validate_v4_index_consistency.js","tests\schema_examples\v4_5_local_checkpoint_readiness.example.yaml; tests\validation_checklist.md","README.md; scripts/validate_local_checkpoint_manifest.js; scripts/validate_local_commit_scope.js","false","false"
"docs/123_v4_6_local_commit_scope_manifest.md","docs/archive/numbered_legacy/123_v4_6_local_commit_scope_manifest.md","validator-blocked","5","1","3","1","scripts_and_tests","scripts\validate_local_commit_scope.js; scripts\validate_mvp.ps1; scripts\validate_v4_index_consistency.js","tests\validation_checklist.md","README.md; scripts/validate_local_commit_scope.js; scripts/validate_mvp.ps1","false","false"
"docs/124_v4_7_post_push_state_reconciliation.md","docs/archive/numbered_legacy/124_v4_7_post_push_state_reconciliation.md","validator-blocked","7","1","4","1","scripts_and_tests","scripts\validate_local_commit_scope.js; scripts\validate_mvp.ps1; scripts\validate_post_push_state.js; scripts\validate_v4_index_consistency.js","tests\validation_checklist.md","README.md; scripts/validate_local_commit_scope.js; scripts/validate_mvp.ps1","false","false"
"docs/125_v4_8_v4_index_consistency_validation.md","docs/archive/numbered_legacy/125_v4_8_v4_index_consistency_validation.md","validator-blocked","6","1","3","1","scripts_and_tests","scripts\validate_local_commit_scope.js; scripts\validate_mvp.ps1; scripts\validate_v4_index_consistency.js","tests\validation_checklist.md","README.md; scripts/validate_local_commit_scope.js; scripts/validate_mvp.ps1","false","false"
"docs/126_v4_9_local_tag_push_readiness.md","docs/archive/numbered_legacy/126_v4_9_local_tag_push_readiness.md","validator-blocked","8","1","4","1","scripts_and_tests","scripts\validate_local_commit_scope.js; scripts\validate_local_tag_push_readiness.js; scripts\validate_mvp.ps1; scripts\validate_v4_index_consistency.js","tests\validation_checklist.md","README.md; scripts/validate_local_commit_scope.js; scripts/validate_local_tag_push_readiness.js","false","false"
"docs/127_v5_0_delivery_readiness_index.md","docs/archive/numbered_legacy/127_v5_0_delivery_readiness_index.md","validator-blocked","9","3","4","3","scripts_and_tests","scripts\validate_local_commit_scope.js; scripts\validate_mvp.ps1; scripts\validate_v5_delivery_readiness.js; scripts\validate_v5_index_consistency.js","tests\schema_examples\v5_6_v5_index_consistency_validation.example.yaml; tests\schema_examples\v5_9_expanded_v5_index_consistency.example.yaml; tests\validation_checklist.md","docs/133_v5_6_v5_index_consistency_validation.md; docs/136_v5_9_expanded_v5_index_consistency.md; README.md","false","false"
"docs/128_v5_1_runtime_delivery_surface.md","docs/archive/numbered_legacy/128_v5_1_runtime_delivery_surface.md","validator-blocked","7","4","4","4","scripts_and_tests","scripts\validate_local_commit_scope.js; scripts\validate_mvp.ps1; scripts\validate_v5_index_consistency.js; scripts\validate_v6_1_runtime_product_surface_audit.js","tests\schema_examples\v5_6_v5_index_consistency_validation.example.yaml; tests\schema_examples\v5_9_expanded_v5_index_consistency.example.yaml; tests\schema_examples\v6_1_runtime_product_surface_audit.example.yaml; tests\validation_checklist.md","docs/133_v5_6_v5_index_consistency_validation.md; docs/136_v5_9_expanded_v5_index_consistency.md; docs/143_v6_1_runtime_product_surface_audit.md","false","false"
"docs/129_v5_2_adapter_delivery_surface.md","docs/archive/numbered_legacy/129_v5_2_adapter_delivery_surface.md","validator-blocked","6","3","3","3","scripts_and_tests","scripts\validate_local_commit_scope.js; scripts\validate_mvp.ps1; scripts\validate_v5_index_consistency.js","tests\schema_examples\v5_6_v5_index_consistency_validation.example.yaml; tests\schema_examples\v5_9_expanded_v5_index_consistency.example.yaml; tests\validation_checklist.md","docs/133_v5_6_v5_index_consistency_validation.md; docs/136_v5_9_expanded_v5_index_consistency.md; README.md","false","false"
"docs/130_v5_3_review_console_adapter_handoff.md","docs/archive/numbered_legacy/130_v5_3_review_console_adapter_handoff.md","validator-blocked","6","3","3","3","scripts_and_tests","scripts\validate_local_commit_scope.js; scripts\validate_mvp.ps1; scripts\validate_v5_index_consistency.js","tests\schema_examples\v5_6_v5_index_consistency_validation.example.yaml; tests\schema_examples\v5_9_expanded_v5_index_consistency.example.yaml; tests\validation_checklist.md","docs/133_v5_6_v5_index_consistency_validation.md; docs/136_v5_9_expanded_v5_index_consistency.md; README.md","false","false"
"docs/131_v5_4_local_sync_readiness.md","docs/archive/numbered_legacy/131_v5_4_local_sync_readiness.md","validator-blocked","8","3","4","3","scripts_and_tests","scripts\validate_local_commit_scope.js; scripts\validate_mvp.ps1; scripts\validate_v5_index_consistency.js; scripts\validate_v5_local_sync_readiness.js","tests\schema_examples\v5_6_v5_index_consistency_validation.example.yaml; tests\schema_examples\v5_9_expanded_v5_index_consistency.example.yaml; tests\validation_checklist.md","docs/133_v5_6_v5_index_consistency_validation.md; docs/136_v5_9_expanded_v5_index_consistency.md; README.md","false","false"
"docs/132_v5_5_post_commit_reconciliation.md","docs/archive/numbered_legacy/132_v5_5_post_commit_reconciliation.md","validator-blocked","14","4","5","4","scripts_and_tests","scripts\validate_local_commit_scope.js; scripts\validate_mvp.ps1; scripts\validate_v5_index_consistency.js; scripts\validate_v5_local_batch_commit_readiness.js; scripts\validate_v5_post_commit_reconciliation.js","tests\schema_examples\v5_6_v5_index_consistency_validation.example.yaml; tests\schema_examples\v5_7_local_batch_commit_readiness.example.yaml; tests\schema_examples\v5_9_expanded_v5_index_consistency.example.yaml; tests\validation_checklist.md","docs/133_v5_6_v5_index_consistency_validation.md; docs/134_v5_7_local_batch_commit_readiness.md; docs/136_v5_9_expanded_v5_index_consistency.md","false","false"
"docs/133_v5_6_v5_index_consistency_validation.md","docs/archive/numbered_legacy/133_v5_6_v5_index_consistency_validation.md","validator-blocked","9","4","4","4","scripts_and_tests","scripts\validate_local_commit_scope.js; scripts\validate_mvp.ps1; scripts\validate_v5_index_consistency.js; scripts\validate_v5_local_batch_commit_readiness.js","tests\schema_examples\v5_6_v5_index_consistency_validation.example.yaml; tests\schema_examples\v5_7_local_batch_commit_readiness.example.yaml; tests\schema_examples\v5_9_expanded_v5_index_consistency.example.yaml; tests\validation_checklist.md","docs/134_v5_7_local_batch_commit_readiness.md; docs/136_v5_9_expanded_v5_index_consistency.md; README.md","false","false"
"docs/134_v5_7_local_batch_commit_readiness.md","docs/archive/numbered_legacy/134_v5_7_local_batch_commit_readiness.md","validator-blocked","12","3","4","3","scripts_and_tests","scripts\validate_local_commit_scope.js; scripts\validate_mvp.ps1; scripts\validate_v5_index_consistency.js; scripts\validate_v5_local_batch_commit_readiness.js","tests\schema_examples\v5_7_local_batch_commit_readiness.example.yaml; tests\schema_examples\v5_9_expanded_v5_index_consistency.example.yaml; tests\validation_checklist.md","docs/136_v5_9_expanded_v5_index_consistency.md; README.md; scripts/validate_local_commit_scope.js","false","false"
"docs/135_v5_8_handoff_freshness_validation.md","docs/archive/numbered_legacy/135_v5_8_handoff_freshness_validation.md","validator-blocked","11","2","4","2","scripts_and_tests","scripts\validate_local_commit_scope.js; scripts\validate_mvp.ps1; scripts\validate_v5_handoff_freshness.js; scripts\validate_v5_index_consistency.js","tests\schema_examples\v5_9_expanded_v5_index_consistency.example.yaml; tests\validation_checklist.md","docs/136_v5_9_expanded_v5_index_consistency.md; README.md; scripts/validate_local_commit_scope.js","false","false"
"docs/136_v5_9_expanded_v5_index_consistency.md","docs/archive/numbered_legacy/136_v5_9_expanded_v5_index_consistency.md","validator-blocked","9","2","3","2","scripts_and_tests","scripts\validate_local_commit_scope.js; scripts\validate_mvp.ps1; scripts\validate_v5_index_consistency.js","tests\schema_examples\v5_9_expanded_v5_index_consistency.example.yaml; tests\validation_checklist.md","docs/137_v5_10_local_true_loop_candidate_delivery.md; README.md; scripts/validate_local_commit_scope.js","false","false"
"docs/137_v5_10_local_true_loop_candidate_delivery.md","docs/archive/numbered_legacy/137_v5_10_local_true_loop_candidate_delivery.md","validator-blocked","15","4","6","4","scripts_and_tests","scripts\validate_local_commit_scope.js; scripts\validate_mvp.ps1; scripts\validate_v5_12_release_candidate_readiness.js; scripts\validate_v5_index_consistency.js; scripts\validate_v5_post_merge_reconciliation.js; scripts\validate_v5_true_loop_candidate_delivery.js","tests\schema_examples\v5_10_local_true_loop_candidate_delivery.example.yaml; tests\schema_examples\v5_11_post_merge_reconciliation.example.yaml; tests\schema_examples\v5_12_release_candidate_readiness.example.yaml; tests\validation_checklist.md","docs/139_v5_12_release_candidate_readiness.md; README.md; scripts/validate_local_commit_scope.js","false","false"
